Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.03%     am               2885  2885  /system/bin/linker                          [linker]soinfo::link_image(LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&, android_dlextinfo const*)
0.03%     main             2885  2885  /system/lib/libart.so                       art::JNI::SetStaticIntField(_JNIEnv*, _jclass*, _jfieldID*, int)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]__strlen_chk
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]__linker_init
0.03%     main             2885  2885  /system/lib/libart.so                       bool art::interpreter::DoFieldPut<(art::FindFieldType)5, (art::Primitive::Type)0, false, false>(art::Thread*, art::ShadowFrame const&, art::Instruction const*, unsigned short)
0.03%     am               2885  2885  /system/bin/linker                          [linker]__aeabi_uidivmod
0.03%     main             2885  2885  /system/lib/libart.so                       std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >::append(char const*, unsigned int)
0.03%     am               2885  2885  /system/bin/linker                          [linker]mprotect
0.03%     main             2885  2885  /system/bin/linker                          [linker]operator delete(void*)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]free
0.03%     HeapTaskDaemon   2885  3092  /system/lib/libart.so                       art::Mutex::ExclusiveLock(art::Thread*)
0.03%     HeapTaskDaemon   2885  3092  /system/lib/libart.so                       art::Thread::SetNativePriority(int)
0.03%     ReferenceQueueD  2885  3089  /system/lib/libart.so                       art::ThreadList::Unregister(art::Thread*)
0.03%     ReferenceQueueD  2885  3089  unknown                                     unknown
0.03%     main             2885  3092  unknown                                     unknown
0.03%     app_process      2885  2885  /system/vendor/lib/libudf.so                __udivsi3
0.03%     main             2885  2885  /system/lib/libart.so                       artSet8StaticFromCode
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]open_library_on_paths(ZipArchiveCache*, char const*, long long*, std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > > const&, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.03%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::LinkCode(art::ArtMethod*, art::OatFile::OatClass const*, unsigned int)
0.03%     am               2885  2885  /system/bin/linker                          [linker]__pthread_mutex_lock_with_timeout(pthread_mutex_internal_t*, bool, timespec const*)
0.03%     main             2885  2885  /system/lib/libart.so                       art::BuildInternalStackTraceVisitor<false>::Init(int)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]std::__1::__hash_iterator<std::__1::__hash_node<std::__1::__hash_value_type<unsigned int, soinfo*>, void*>*> std::__1::__hash_table<std::__1::__hash_value_type<unsigned int, soinfo*>, std::__1::__unordered_map_hasher<unsigned int, std::__1::__hash_value_type<unsigned int, soinfo*>, std::__1::hash<unsigned int>, true>, std::__1::__unordered_map_equal<unsigned int, std::__1::__hash_value_type<unsigned int, soinfo*>, std::__1::equal_to<unsigned int>, true>, std::__1::allocator<std::__1::__hash_value_type<unsigned int, soinfo*> > >::find<unsigned int>(unsigned int const&)
0.03%     HeapTaskDaemon   2885  3092  /system/lib/libart.so                       unknown
0.03%     app_process      2885  2885  /system/lib/libart.so                       art::gc::Heap::Heap(unsigned int, unsigned int, unsigned int, unsigned int, double, double, unsigned int, unsigned int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&, art::InstructionSet, art::gc::CollectorType, art::gc::CollectorType, art::gc::space::LargeObjectSpaceType, unsigned int, unsigned int, unsigned int, bool, unsigned int, unsigned int, bool, bool, bool, bool, bool, bool, bool, bool, bool, bool, unsigned long long)
0.03%     am               2885  2885  /system/lib/libc.so                         __sigaction
0.03%     am               2885  2885  /system/vendor/lib/libudf.so                free
0.03%     main             2885  2885  /system/lib/libopenjdk.so                   JNU_GetStringPlatformChars
0.03%     main             2885  2885  /system/bin/linker                          unknown
0.03%     main             2885  2885  /system/lib/libart.so                       art::OatFile::OatClass::GetOatMethodOffsets(unsigned int) const
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::Class::GetDescriptor(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >*)
0.03%     main             2885  2885  /system/bin/linker                          [linker]soinfo* LinkedList<soinfo, SoinfoListAllocator>::find_if<load_library(android_namespace_t*, LoadTask*, std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >*, int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)::$_12>(load_library(android_namespace_t*, LoadTask*, std::__1::vector<LoadTask*, std::__1::allocator<LoadTask*> >*, int, std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)::$_12) const
0.03%     app_process      2885  2885  /system/lib/libc++.so                       unknown
0.03%     main             2885  2885  /system/lib/libart.so                       art::JNI::DeleteLocalRef(_JNIEnv*, _jobject*)
0.03%     FinalizerDaemon  2885  3090  /system/lib/libart.so                       art::DexRegisterLocationCatalog::ExtractKindAtOffset(unsigned int) const
0.03%     FinalizerDaemon  2885  3090  /system/lib/libart.so                       art::Monitor::DoNotify(art::Thread*, art::mirror::Object*, bool)
0.03%     FinalizerDaemon  2885  3090  /system/lib/libart.so                       art::Monitor::Lock(art::Thread*)
0.03%     app_process      2885  2885  /system/lib/libart.so                       art::OatHeader::GetStoreValueByKey(char const*) const
0.03%     app_process      2885  2885  /system/lib/libart.so                       void std::__1::vector<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >, std::__1::allocator<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > > >::__push_back_slow_path<std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > >(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> >&&)
0.03%     main             2885  2885  /system/bin/linker                          [linker]__mmap2
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]memchr
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerMemoryAllocator::free(void*)
0.03%     main             2885  2885  /system/lib/libjavacore.so                  unknown
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::Class::GetClassDef()
0.03%     am               2885  2885  /system/bin/linker                          [linker]isspace
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::Object* art::gc::Heap::AllocObjectWithAllocator<true, true, art::mirror::SetStringCountVisitor>(art::Thread*, art::mirror::Class*, unsigned int, art::gc::AllocatorType, art::mirror::SetStringCountVisitor const&)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]read_spec_entries(char*, int, ...)
0.03%     Binder:2885_1    2885  3133  [kernel.kallsyms]                           unknown
0.03%     Binder:2885_2    2885  3133  /system/lib/libart.so                       art::Thread::InstallImplicitProtection()
0.03%     main             2885  2885  /system/lib/libart.so                       art::mirror::String::ToCharArray(art::Thread*)
0.03%     am               2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::find_page_record(void*)
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]isspace
0.03%     FinalizerWatchd  2885  3091  /system/lib/libc++.so                       unknown
0.03%     Shutdown thread  2885  2885  /system/lib/libLLVM.so                      unknown
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]__udivdi3
0.03%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::free_page(std::__1::__wrap_iter<small_object_page_record*>)
0.02%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::free(void*)
0.02%     app_process      2885  2885  /system/bin/linker                          [linker]LinkerSmallObjectAllocator::find_page_record(void*)
0.02%     main             2885  2885  /system/lib/libart.so                       artGetObjStaticFromCode
0.02%     app_process      2885  2885  /system/bin/linker                          [linker]soinfo::call_function(char const*, void (*)())
0.02%     main             2885  2885  /system/bin/linker                          [linker]LinkerBlockAllocator::free(void*)
0.02%     app_process      2885  2885  /system/bin/linker                          [linker]__aeabi_uldivmod
0.02%     app_process      2885  2885  /system/bin/linker                          [linker]android_namespace_t::is_accessible(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char> > const&)
0.02%     main             2885  2885  /system/lib/libart.so                       art::ClassLinker::ResolveFieldJLS(art::DexFile const&, unsigned int, art::Handle<art::mirror::DexCache>, art::Handle<art::mirror::ClassLoader>)
0.02%     main             2885  2885  /system/lib/libart.so                       art::ArtMethod::RegisterNative(void const*, bool)
0.02%     main             2885  2885  /system/lib/libart.so                       MterpNewInstance
0.02%     main             2885  2885  /system/lib/libart.so                       art::IndirectReferenceTable::Add(unsigned int, art::mirror::Object*)
0.02%     main             2885  2885  /system/lib/libandroid_runtime.so           unknown
0.00%     simpleperf       2885  2885  [kernel.kallsyms]                           unknown
