Cmdline: /system/xbin/simpleperf record -g am start com.mediatek.camera -o lauchcamera.data
Samples: 3637 of event 'cpu-cycles'
Event count: 853191335

Overhead  Command          Pid   Tid   Shared Object                               Symbol
0.12%     am               2885  2885  /system/bin/linker                          [linker]memset
0.12%     am               2885  2885  /system/bin/linker                          [linker]soinfo_do_lookup(soinfo*, char const*, version_info const*, soinfo**, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&, elf32_sym const**)
0.12%     am               2885  2885  /system/bin/linker                          [linker]bool soinfo::relocate<packed_reloc_iterator<sleb128_decoder> >(VersionTracker const&, packed_reloc_iterator<sleb128_decoder>&&, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&)
0.11%     main             2885  2885  /system/lib/libart.so                       art::CodeInfo::GetStackMapForNativePcOffset(unsigned int, art::CodeInfoEncoding const&) const
0.11%     app_process      2885  2885  /system/bin/linker                          [linker]sleb128_decoder::pop_front()
0.11%     main             2885  2885  /system/vendor/lib/libudf.so                free
0.11%     main             2885  3132  [kernel.kallsyms]                           unknown
0.11%     main             2885  2885  /system/lib/libart.so                       art::mirror::FindFieldByNameAndType(art::LengthPrefixedArray<art::ArtField>*, art::StringPiece const&, art::StringPiece const&)
0.11%     am               2885  2885  /system/bin/linker                          [linker]memchr
0.11%     main             2885  2885  /system/bin/linker                          [linker]strcmp
0.11%     app_process      2885  2885  /system/bin/linker                          [linker]find_libraries(android_namespace_t*, soinfo*, char const* const*, unsigned int, soinfo**, std::__1::vector<soinfo*, std::__1::allocator<soinfo*> >*, unsigned int, int, android_dlextinfo const*, bool)
0.11%     main             2885  2885  /system/bin/linker                          [linker]soinfo_do_lookup(soinfo*, char const*, version_info const*, soinfo**, LinkedList<soinfo, SoinfoListAllocator> const&, LinkedList<soinfo, SoinfoListAllocator> const&, elf32_sym const**)
0.10%     main             2885  2885  /system/lib/libart.so                       art::IndirectReferenceTable::GetChecked(void*) const
